Datetime,Price
2025-04-09 13:30:00+00:00,4960.57
2025-04-09 13:31:00+00:00,4972.98
2025-04-09 13:32:00+00:00,4983.48
2025-04-09 13:33:00+00:00,4983.64
2025-04-09 13:34:00+00:00,4969.33
2025-04-09 13:35:00+00:00,4976.31
2025-04-09 13:36:00+00:00,4971.02
2025-04-09 13:37:00+00:00,4962.65
2025-04-09 13:38:00+00:00,4993.4
2025-04-09 13:39:00+00:00,5010.44
2025-04-09 13:40:00+00:00,5019.46
2025-04-09 13:41:00+00:00,5030.92
2025-04-09 13:42:00+00:00,5021.28
2025-04-09 13:43:00+00:00,5013.57
2025-04-09 13:44:00+00:00,4992.12
2025-04-09 13:45:00+00:00,4987.35
2025-04-09 13:46:00+00:00,4988.32
2025-04-09 13:47:00+00:00,4983.4
2025-04-09 13:48:00+00:00,4990.45
2025-04-09 13:49:00+00:00,5002.57
2025-04-09 13:50:00+00:00,5003.03
2025-04-09 13:51:00+00:00,5014.18
2025-04-09 13:52:00+00:00,5016.15
2025-04-09 13:53:00+00:00,5025.2
2025-04-09 13:54:00+00:00,5020.07
2025-04-09 13:55:00+00:00,5019.58
2025-04-09 13:56:00+00:00,5028.99
2025-04-09 13:57:00+00:00,5022.02
2025-04-09 13:58:00+00:00,5022.9
2025-04-09 13:59:00+00:00,5017.07
2025-04-09 14:00:00+00:00,5039.8
2025-04-09 14:01:00+00:00,5045.79
2025-04-09 14:02:00+00:00,5042.3
2025-04-09 14:03:00+00:00,5038.7
2025-04-09 14:04:00+00:00,5036.37
2025-04-09 14:05:00+00:00,5021.05
2025-04-09 14:06:00+00:00,5007.88
2025-04-09 14:07:00+00:00,5000.43
2025-04-09 14:08:00+00:00,5007.68
2025-04-09 14:09:00+00:00,5003.02
2025-04-09 14:10:00+00:00,5013.83
2025-04-09 14:11:00+00:00,5017.21
2025-04-09 14:12:00+00:00,5008.56
2025-04-09 14:13:00+00:00,4999.38
2025-04-09 14:14:00+00:00,4990.05
2025-04-09 14:15:00+00:00,4994.99
2025-04-09 14:16:00+00:00,4999.19
2025-04-09 14:17:00+00:00,5006.34
2025-04-09 14:18:00+00:00,5003.78
2025-04-09 14:19:00+00:00,5006.76
2025-04-09 14:20:00+00:00,5005.13
2025-04-09 14:21:00+00:00,4997.97
2025-04-09 14:22:00+00:00,4994.64
2025-04-09 14:23:00+00:00,5011.96
2025-04-09 14:24:00+00:00,5007.92
2025-04-09 14:25:00+00:00,5004.04
2025-04-09 14:26:00+00:00,5001.64
2025-04-09 14:27:00+00:00,4996.34
2025-04-09 14:28:00+00:00,4997.47
2025-04-09 14:29:00+00:00,5007.88
2025-04-09 14:30:00+00:00,5009.66
2025-04-09 14:31:00+00:00,5019.83
2025-04-09 14:32:00+00:00,5023.18
2025-04-09 14:34:00+00:00,5027.78
2025-04-09 14:35:00+00:00,5027.39
2025-04-09 14:36:00+00:00,5020.87
2025-04-09 14:37:00+00:00,5014.54
2025-04-09 14:38:00+00:00,5008.61
2025-04-09 14:39:00+00:00,5006.25
2025-04-09 14:40:00+00:00,5003.14
2025-04-09 14:41:00+00:00,5001.02
2025-04-09 14:42:00+00:00,5005.59
2025-04-09 14:43:00+00:00,5001.63
2025-04-09 14:44:00+00:00,4995.03
2025-04-09 14:45:00+00:00,4999.26
2025-04-09 14:46:00+00:00,5007.46
2025-04-09 14:47:00+00:00,5007.4
2025-04-09 14:48:00+00:00,4995.76
2025-04-09 14:49:00+00:00,4986.7
2025-04-09 14:50:00+00:00,4980.72
2025-04-09 14:51:00+00:00,4972.86
2025-04-09 14:52:00+00:00,4959.75
2025-04-09 14:53:00+00:00,4961.96
2025-04-09 14:54:00+00:00,4964.28
2025-04-09 14:55:00+00:00,4967.45
2025-04-09 14:56:00+00:00,4955.58
2025-04-09 14:57:00+00:00,4963.45
2025-04-09 14:58:00+00:00,4957.87
2025-04-09 14:59:00+00:00,4949.85
2025-04-09 15:00:00+00:00,4957.34
2025-04-09 15:01:00+00:00,4960.1
2025-04-09 15:02:00+00:00,4954.48
2025-04-09 15:03:00+00:00,4961.01
2025-04-09 15:04:00+00:00,4972.97
2025-04-09 15:05:00+00:00,4979.2
2025-04-09 15:06:00+00:00,4988.91
2025-04-09 15:09:00+00:00,4985.38
2025-04-09 15:10:00+00:00,4986.88
2025-04-09 15:11:00+00:00,4989.31
2025-04-09 15:12:00+00:00,4986.02
2025-04-09 15:13:00+00:00,4980.68
2025-04-09 15:14:00+00:00,4983.24
2025-04-09 15:15:00+00:00,5001.39
2025-04-09 15:16:00+00:00,4999.67
2025-04-09 15:17:00+00:00,5002.01
2025-04-09 15:18:00+00:00,4999.11
2025-04-09 15:19:00+00:00,5001.35
2025-04-09 15:20:00+00:00,5005.33
2025-04-09 15:21:00+00:00,5008.23
2025-04-09 15:22:00+00:00,5003.85
2025-04-09 15:23:00+00:00,5005.13
2025-04-09 15:24:00+00:00,5011.24
2025-04-09 15:25:00+00:00,5007.34
2025-04-09 15:26:00+00:00,5005.85
2025-04-09 15:27:00+00:00,5009.54
2025-04-09 15:28:00+00:00,5002.56
2025-04-09 15:29:00+00:00,5000.12
2025-04-09 15:30:00+00:00,5008.05
2025-04-09 15:31:00+00:00,5005.9
2025-04-09 15:32:00+00:00,4998.46
2025-04-09 15:33:00+00:00,4990.28
2025-04-09 15:34:00+00:00,4990.96
2025-04-09 15:35:00+00:00,4982.42
2025-04-09 15:36:00+00:00,4989.75
2025-04-09 15:37:00+00:00,4991.62
2025-04-09 15:38:00+00:00,4988.33
2025-04-09 15:39:00+00:00,4979.45
2025-04-09 15:40:00+00:00,4979.76
2025-04-09 15:41:00+00:00,4971.59
2025-04-09 15:42:00+00:00,4972.05
2025-04-09 15:43:00+00:00,4972.68
2025-04-09 15:44:00+00:00,4969.89
2025-04-09 15:45:00+00:00,4977.86
2025-04-09 15:46:00+00:00,4978.5
2025-04-09 15:47:00+00:00,4995.36
2025-04-09 15:48:00+00:00,5002.91
2025-04-09 15:49:00+00:00,4994.63
2025-04-09 15:50:00+00:00,4998.74
2025-04-09 15:51:00+00:00,4994.9
2025-04-09 15:52:00+00:00,4995.57
2025-04-09 15:53:00+00:00,4990.98
2025-04-09 15:54:00+00:00,4986.75
2025-04-09 15:55:00+00:00,4980.66
2025-04-09 15:56:00+00:00,4976.62
2025-04-09 15:57:00+00:00,4974.19
2025-04-09 15:58:00+00:00,4972.92
2025-04-09 15:59:00+00:00,4977.64
2025-04-09 16:00:00+00:00,4971.2
2025-04-09 16:01:00+00:00,4968.13
2025-04-09 16:02:00+00:00,4976.08
2025-04-09 16:03:00+00:00,4978.16
2025-04-09 16:04:00+00:00,4975.07
2025-04-09 16:05:00+00:00,4982.51
2025-04-09 16:06:00+00:00,4980.95
2025-04-09 16:07:00+00:00,4985.56
2025-04-09 16:08:00+00:00,4987.66
2025-04-09 16:09:00+00:00,4992.39
2025-04-09 16:10:00+00:00,4998.26
2025-04-09 16:11:00+00:00,4999.86
2025-04-09 16:12:00+00:00,5003.33
2025-04-09 16:13:00+00:00,5011.85
2025-04-09 16:14:00+00:00,5016.64
2025-04-09 16:15:00+00:00,5016.95
2025-04-09 16:16:00+00:00,5017.83
2025-04-09 16:17:00+00:00,5016.79
2025-04-09 16:18:00+00:00,5014.98
2025-04-09 16:19:00+00:00,5016.96
2025-04-09 16:20:00+00:00,5014.5
2025-04-09 16:21:00+00:00,5013.33
2025-04-09 16:22:00+00:00,5016.99
2025-04-09 16:23:00+00:00,5013.63
2025-04-09 16:24:00+00:00,5011.14
2025-04-09 16:25:00+00:00,5014.01
2025-04-09 16:26:00+00:00,5018.31
2025-04-09 16:27:00+00:00,5020.04
2025-04-09 16:28:00+00:00,5012.77
2025-04-09 16:29:00+00:00,5009.69
2025-04-09 16:30:00+00:00,5010.59
2025-04-09 16:31:00+00:00,5011.13
2025-04-09 16:32:00+00:00,5013.28
2025-04-09 16:33:00+00:00,5014.93
2025-04-09 16:34:00+00:00,5017.01
2025-04-09 16:35:00+00:00,5023.33
2025-04-09 16:36:00+00:00,5016.57
2025-04-09 16:37:00+00:00,5014.64
2025-04-09 16:38:00+00:00,5015.4
2025-04-09 16:39:00+00:00,5019.47
2025-04-09 16:40:00+00:00,5012.18
2025-04-09 16:41:00+00:00,5016.37
2025-04-09 16:42:00+00:00,5013.26
2025-04-09 16:43:00+00:00,5013.62
2025-04-09 16:44:00+00:00,5015.53
2025-04-09 16:45:00+00:00,5011.98
2025-04-09 16:46:00+00:00,5016.95
2025-04-09 16:47:00+00:00,5016.03
2025-04-09 16:48:00+00:00,5019.37
2025-04-09 16:49:00+00:00,5024.77
2025-04-09 16:50:00+00:00,5033.09
2025-04-09 16:51:00+00:00,5027.12
2025-04-09 16:52:00+00:00,5022.59
2025-04-09 16:53:00+00:00,5026.06
2025-04-09 16:54:00+00:00,5032.23
2025-04-09 16:55:00+00:00,5033.93
2025-04-09 16:56:00+00:00,5038.73
2025-04-09 16:57:00+00:00,5041.45
2025-04-09 16:58:00+00:00,5034.24
2025-04-09 16:59:00+00:00,5030.05
2025-04-09 17:00:00+00:00,5034.41
2025-04-09 17:01:00+00:00,5035.15
2025-04-09 17:02:00+00:00,5065.03
2025-04-09 17:03:00+00:00,5059.47
2025-04-09 17:04:00+00:00,5071.89
2025-04-09 17:05:00+00:00,5066.62
2025-04-09 17:06:00+00:00,5053.25
2025-04-09 17:07:00+00:00,5048.54
2025-04-09 17:08:00+00:00,5039.21
2025-04-09 17:09:00+00:00,5037.47
2025-04-09 17:10:00+00:00,5029.91
2025-04-09 17:11:00+00:00,5030.23
2025-04-09 17:12:00+00:00,5036.38
2025-04-09 17:13:00+00:00,5036.17
2025-04-09 17:14:00+00:00,5040.29
2025-04-09 17:15:00+00:00,5040.84
2025-04-09 17:16:00+00:00,5052.3
2025-04-09 17:17:00+00:00,5049.59
2025-04-09 17:18:00+00:00,5011.19
2025-04-09 17:19:00+00:00,5141.74
2025-04-09 17:20:00+00:00,5183.61
2025-04-09 17:21:00+00:00,5192.28
2025-04-09 17:22:00+00:00,5213.83
2025-04-09 17:23:00+00:00,5248.92
2025-04-09 17:24:00+00:00,5256.9
2025-04-09 17:25:00+00:00,5292.25
2025-04-09 17:26:00+00:00,5316.02
2025-04-09 17:27:00+00:00,5344.47
2025-04-09 17:28:00+00:00,5271.87
2025-04-09 17:29:00+00:00,5256.32
2025-04-09 17:30:00+00:00,5269.32
2025-04-09 17:31:00+00:00,5304.58
2025-04-09 17:32:00+00:00,5316.83
2025-04-09 17:33:00+00:00,5318.48
2025-04-09 17:34:00+00:00,5337.04
2025-04-09 17:35:00+00:00,5368.53
2025-04-09 17:36:00+00:00,5329.42
2025-04-09 17:37:00+00:00,5344.6
2025-04-09 17:38:00+00:00,5319.96
2025-04-09 17:39:00+00:00,5293.6
2025-04-09 17:40:00+00:00,5292.56
2025-04-09 17:41:00+00:00,5304.5
2025-04-09 17:42:00+00:00,5302.47
2025-04-09 17:43:00+00:00,5279.73
2025-04-09 17:44:00+00:00,5276.97
2025-04-09 17:45:00+00:00,5289.2
2025-04-09 17:46:00+00:00,5327.65
2025-04-09 17:47:00+00:00,5312.77
2025-04-09 17:48:00+00:00,5336.06
2025-04-09 17:49:00+00:00,5327.62
2025-04-09 17:50:00+00:00,5315.28
2025-04-09 17:51:00+00:00,5325.19
2025-04-09 17:52:00+00:00,5320.06
2025-04-09 17:53:00+00:00,5315.94
2025-04-09 17:54:00+00:00,5330.3
2025-04-09 17:55:00+00:00,5315.67
2025-04-09 17:56:00+00:00,5337.51
2025-04-09 17:57:00+00:00,5358.08
2025-04-09 17:58:00+00:00,5368.59
2025-04-09 17:59:00+00:00,5367.85
2025-04-09 18:00:00+00:00,5381.84
2025-04-09 18:01:00+00:00,5380.85
2025-04-09 18:02:00+00:00,5386.2
2025-04-09 18:03:00+00:00,5388.85
2025-04-09 18:04:00+00:00,5379.73
2025-04-09 18:05:00+00:00,5368.97
2025-04-09 18:06:00+00:00,5363.67
2025-04-09 18:07:00+00:00,5350.27
2025-04-09 18:08:00+00:00,5341.55
2025-04-09 18:09:00+00:00,5359.89
2025-04-09 18:10:00+00:00,5362.14
2025-04-09 18:11:00+00:00,5371.85
2025-04-09 18:12:00+00:00,5379.16
2025-04-09 18:13:00+00:00,5367.48
2025-04-09 18:14:00+00:00,5364.05
2025-04-09 18:15:00+00:00,5353.67
2025-04-09 18:16:00+00:00,5367.51
2025-04-09 18:17:00+00:00,5367.42
2025-04-09 18:18:00+00:00,5388.75
2025-04-09 18:19:00+00:00,5366.33
2025-04-09 18:20:00+00:00,5362.57
2025-04-09 18:21:00+00:00,5361.65
2025-04-09 18:22:00+00:00,5374.22
2025-04-09 18:23:00+00:00,5387.71
2025-04-09 18:24:00+00:00,5389.47
2025-04-09 18:25:00+00:00,5396.3
2025-04-09 18:26:00+00:00,5389.45
2025-04-09 18:27:00+00:00,5408.37
2025-04-09 18:28:00+00:00,5406.2
2025-04-09 18:29:00+00:00,5403.97
2025-04-09 18:30:00+00:00,5409.38
2025-04-09 18:31:00+00:00,5407.28
2025-04-09 18:32:00+00:00,5409.25
2025-04-09 18:33:00+00:00,5391.03
2025-04-09 18:34:00+00:00,5378.37
2025-04-09 18:35:00+00:00,5394.58
2025-04-09 18:36:00+00:00,5384.58
2025-04-09 18:37:00+00:00,5390.18
2025-04-09 18:38:00+00:00,5387.82
2025-04-09 18:39:00+00:00,5389.38
2025-04-09 18:40:00+00:00,5387.1
2025-04-09 18:41:00+00:00,5382.77
2025-04-09 18:42:00+00:00,5358.83
2025-04-09 18:43:00+00:00,5359.99
2025-04-09 18:44:00+00:00,5344.74
2025-04-09 18:45:00+00:00,5337.93
2025-04-09 18:46:00+00:00,5352.59
2025-04-09 18:47:00+00:00,5353.23
2025-04-09 18:48:00+00:00,5362.88
2025-04-09 18:49:00+00:00,5360.29
2025-04-09 18:50:00+00:00,5365.3
2025-04-09 18:51:00+00:00,5370.06
2025-04-09 18:52:00+00:00,5372.57
2025-04-09 18:53:00+00:00,5353.17
2025-04-09 18:54:00+00:00,5353.37
2025-04-09 18:55:00+00:00,5346.01
2025-04-09 18:56:00+00:00,5339.2
2025-04-09 18:57:00+00:00,5346.69
2025-04-09 18:58:00+00:00,5338.3
2025-04-09 18:59:00+00:00,5328.45
2025-04-09 19:00:00+00:00,5321.0
2025-04-09 19:01:00+00:00,5330.96
2025-04-09 19:02:00+00:00,5348.8
2025-04-09 19:03:00+00:00,5351.13
2025-04-09 19:04:00+00:00,5362.71
2025-04-09 19:05:00+00:00,5367.31
2025-04-09 19:06:00+00:00,5358.75
2025-04-09 19:07:00+00:00,5364.27
2025-04-09 19:08:00+00:00,5359.99
2025-04-09 19:09:00+00:00,5367.05
2025-04-09 19:10:00+00:00,5378.12
2025-04-09 19:11:00+00:00,5379.11
2025-04-09 19:12:00+00:00,5376.25
2025-04-09 19:13:00+00:00,5383.62
2025-04-09 19:14:00+00:00,5393.93
2025-04-09 19:15:00+00:00,5392.65
2025-04-09 19:16:00+00:00,5390.08
2025-04-09 19:17:00+00:00,5389.27
2025-04-09 19:18:00+00:00,5384.84
2025-04-09 19:19:00+00:00,5399.59
2025-04-09 19:20:00+00:00,5409.84
2025-04-09 19:21:00+00:00,5419.09
2025-04-09 19:22:00+00:00,5414.11
2025-04-09 19:23:00+00:00,5421.43
2025-04-09 19:24:00+00:00,5419.41
2025-04-09 19:25:00+00:00,5432.35
2025-04-09 19:26:00+00:00,5424.87
2025-04-09 19:27:00+00:00,5427.84
2025-04-09 19:28:00+00:00,5418.32
2025-04-09 19:29:00+00:00,5423.82
2025-04-09 19:30:00+00:00,5432.71
2025-04-09 19:31:00+00:00,5443.65
2025-04-09 19:32:00+00:00,5451.14
2025-04-09 19:33:00+00:00,5436.64
2025-04-09 19:34:00+00:00,5441.58
2025-04-09 19:35:00+00:00,5438.38
2025-04-09 19:36:00+00:00,5425.75
2025-04-09 19:37:00+00:00,5424.14
2025-04-09 19:38:00+00:00,5427.53
2025-04-09 19:39:00+00:00,5437.7
2025-04-09 19:40:00+00:00,5434.1
2025-04-09 19:41:00+00:00,5434.19
2025-04-09 19:42:00+00:00,5431.67
2025-04-09 19:43:00+00:00,5437.44
2025-04-09 19:44:00+00:00,5435.89
2025-04-09 19:45:00+00:00,5434.82
2025-04-09 19:46:00+00:00,5429.72
2025-04-09 19:47:00+00:00,5438.08
2025-04-09 19:48:00+00:00,5442.35
2025-04-09 19:49:00+00:00,5448.75
2025-04-09 19:50:00+00:00,5470.26
2025-04-09 19:51:00+00:00,5467.32
2025-04-09 19:52:00+00:00,5477.12
2025-04-09 19:53:00+00:00,5469.23
2025-04-09 19:54:00+00:00,5459.68
2025-04-09 19:55:00+00:00,5455.84
2025-04-09 19:56:00+00:00,5443.97
2025-04-09 19:57:00+00:00,5455.72
2025-04-09 19:58:00+00:00,5454.62
2025-04-09 19:59:00+00:00,5451.61
2025-04-10 13:30:00+00:00,5343.87
2025-04-10 13:31:00+00:00,5332.41
2025-04-10 13:32:00+00:00,5340.04
2025-04-10 13:33:00+00:00,5335.01
2025-04-10 13:34:00+00:00,5338.0
2025-04-10 13:35:00+00:00,5333.55
2025-04-10 13:36:00+00:00,5339.85
2025-04-10 13:37:00+00:00,5317.39
2025-04-10 13:38:00+00:00,5336.33
2025-04-10 13:39:00+00:00,5330.2
2025-04-10 13:40:00+00:00,5317.16
2025-04-10 13:41:00+00:00,5315.11
2025-04-10 13:42:00+00:00,5308.78
2025-04-10 13:43:00+00:00,5312.47
2025-04-10 13:44:00+00:00,5315.81
2025-04-10 13:45:00+00:00,5330.99
2025-04-10 13:46:00+00:00,5333.46
2025-04-10 13:47:00+00:00,5332.64
2025-04-10 13:48:00+00:00,5341.51
2025-04-10 13:49:00+00:00,5340.41
2025-04-10 13:50:00+00:00,5348.73
2025-04-10 13:51:00+00:00,5330.68
2025-04-10 13:52:00+00:00,5330.16
2025-04-10 13:53:00+00:00,5332.17
2025-04-10 13:54:00+00:00,5324.07
2025-04-10 13:55:00+00:00,5321.61
2025-04-10 13:56:00+00:00,5316.1
2025-04-10 13:57:00+00:00,5319.48
2025-04-10 13:58:00+00:00,5310.89
2025-04-10 13:59:00+00:00,5308.34
2025-04-10 14:00:00+00:00,5308.05
2025-04-10 14:01:00+00:00,5294.14
2025-04-10 14:02:00+00:00,5305.4
2025-04-10 14:03:00+00:00,5305.27
2025-04-10 14:04:00+00:00,5304.31
2025-04-10 14:05:00+00:00,5315.23
2025-04-10 14:06:00+00:00,5302.28
2025-04-10 14:07:00+00:00,5296.29
2025-04-10 14:08:00+00:00,5305.13
2025-04-10 14:09:00+00:00,5307.42
2025-04-10 14:10:00+00:00,5294.18
2025-04-10 14:11:00+00:00,5290.28
2025-04-10 14:12:00+00:00,5286.62
2025-04-10 14:13:00+00:00,5297.58
2025-04-10 14:14:00+00:00,5294.09
2025-04-10 14:15:00+00:00,5301.24
2025-04-10 14:16:00+00:00,5301.94
2025-04-10 14:17:00+00:00,5298.75
2025-04-10 14:18:00+00:00,5300.82
2025-04-10 14:19:00+00:00,5293.68
2025-04-10 14:20:00+00:00,5295.12
2025-04-10 14:21:00+00:00,5304.29
2025-04-10 14:22:00+00:00,5308.31
2025-04-10 14:23:00+00:00,5313.57
2025-04-10 14:24:00+00:00,5317.37
2025-04-10 14:25:00+00:00,5319.87
2025-04-10 14:26:00+00:00,5319.28
2025-04-10 14:27:00+00:00,5315.09
2025-04-10 14:28:00+00:00,5314.41
2025-04-10 14:29:00+00:00,5301.35
2025-04-10 14:30:00+00:00,5310.95
2025-04-10 14:31:00+00:00,5321.56
2025-04-10 14:32:00+00:00,5316.8
2025-04-10 14:33:00+00:00,5321.48
2025-04-10 14:34:00+00:00,5325.68
2025-04-10 14:35:00+00:00,5323.39
2025-04-10 14:36:00+00:00,5331.7
2025-04-10 14:37:00+00:00,5322.73
2025-04-10 14:38:00+00:00,5325.6
2025-04-10 14:39:00+00:00,5324.13
2025-04-10 14:40:00+00:00,5328.16
2025-04-10 14:41:00+00:00,5323.94
2025-04-10 14:42:00+00:00,5332.79
2025-04-10 14:43:00+00:00,5316.87
2025-04-10 14:44:00+00:00,5317.37
2025-04-10 14:45:00+00:00,5314.7
2025-04-10 14:46:00+00:00,5315.52
2025-04-10 14:47:00+00:00,5307.33
2025-04-10 14:48:00+00:00,5302.74
2025-04-10 14:49:00+00:00,5302.04
2025-04-10 14:50:00+00:00,5301.55
2025-04-10 14:51:00+00:00,5300.23
2025-04-10 14:52:00+00:00,5296.48
2025-04-10 14:53:00+00:00,5297.29
2025-04-10 14:54:00+00:00,5299.46
2025-04-10 14:55:00+00:00,5297.3
2025-04-10 14:56:00+00:00,5291.72
2025-04-10 14:57:00+00:00,5291.13
2025-04-10 14:58:00+00:00,5282.98
2025-04-10 14:59:00+00:00,5280.77
2025-04-10 15:00:00+00:00,5280.71
2025-04-10 15:01:00+00:00,5280.54
2025-04-10 15:02:00+00:00,5280.71
2025-04-10 15:03:00+00:00,5282.97
2025-04-10 15:04:00+00:00,5284.18
2025-04-10 15:05:00+00:00,5289.43
2025-04-10 15:06:00+00:00,5296.35
2025-04-10 15:07:00+00:00,5298.31
2025-04-10 15:08:00+00:00,5298.63
2025-04-10 15:09:00+00:00,5302.78
2025-04-10 15:10:00+00:00,5301.56
2025-04-10 15:11:00+00:00,5296.05
2025-04-10 15:12:00+00:00,5294.77
2025-04-10 15:13:00+00:00,5291.86
2025-04-10 15:14:00+00:00,5282.37
2025-04-10 15:15:00+00:00,5282.19
2025-04-10 15:18:00+00:00,5274.87
2025-04-10 15:19:00+00:00,5271.69
2025-04-10 15:20:00+00:00,5273.35
2025-04-10 15:21:00+00:00,5269.73
2025-04-10 15:22:00+00:00,5266.83
2025-04-10 15:23:00+00:00,5262.39
2025-04-10 15:24:00+00:00,5264.17
2025-04-10 15:25:00+00:00,5261.66
2025-04-10 15:26:00+00:00,5267.22
2025-04-10 15:27:00+00:00,5261.45
2025-04-10 15:28:00+00:00,5260.2
2025-04-10 15:29:00+00:00,5255.38
2025-04-10 15:30:00+00:00,5253.88
2025-04-10 15:31:00+00:00,5249.23
2025-04-10 15:32:00+00:00,5251.05
2025-04-10 15:33:00+00:00,5242.13
2025-04-10 15:34:00+00:00,5251.64
2025-04-10 15:35:00+00:00,5246.78
2025-04-10 15:36:00+00:00,5252.97
2025-04-10 15:37:00+00:00,5245.21
2025-04-10 15:38:00+00:00,5246.59
2025-04-10 15:39:00+00:00,5238.45
2025-04-10 15:40:00+00:00,5245.75
2025-04-10 15:41:00+00:00,5242.58
2025-04-10 15:42:00+00:00,5248.7
2025-04-10 15:43:00+00:00,5242.21
2025-04-10 15:44:00+00:00,5234.6
2025-04-10 15:45:00+00:00,5243.16
2025-04-10 15:46:00+00:00,5238.92
2025-04-10 15:47:00+00:00,5233.64
2025-04-10 15:48:00+00:00,5229.52
2025-04-10 15:49:00+00:00,5227.53
2025-04-10 15:50:00+00:00,5223.56
2025-04-10 15:51:00+00:00,5216.85
2025-04-10 15:52:00+00:00,5218.82
2025-04-10 15:53:00+00:00,5221.98
2025-04-10 15:54:00+00:00,5231.04
2025-04-10 15:55:00+00:00,5222.39
2025-04-10 15:56:00+00:00,5214.85
2025-04-10 15:57:00+00:00,5206.5
2025-04-10 15:58:00+00:00,5203.4
2025-04-10 15:59:00+00:00,5203.98
2025-04-10 16:00:00+00:00,5205.12
2025-04-10 16:01:00+00:00,5189.3
2025-04-10 16:02:00+00:00,5195.98
2025-04-10 16:03:00+00:00,5185.16
2025-04-10 16:04:00+00:00,5183.26
